frame_num,gps_utc_time,gps_latitude,gps_longitude,gps_north,gps_east,gps_ground_speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp,crash
1,0x00000000,0x00000000,0x00000000,0,0,0x00000000,35,39,-58,-252,295,440,6.375,no crash
2,0x0ABAD380,0x02962F63,0x04B90DD8,1,0,0x00000018,39,38,-49,-31,1095,832,6.375,no crash
3,0x0ABAD380,0x02962F63,0x04B90DD8,1,0,0x00000018,35,19,-48,-104,-188,844,6.375,no crash
4,0x0ABAD380,0x02962F63,0x04B90DD8,1,0,0x00000018,43,19,-52,236,-148,208,6.375,no crash
5,0x0ABAD380,0x02962F63,0x04B90DD8,1,0,0x00000018,39,31,-52,-74,-315,-37,6.375,no crash
6,0x0ABAD380,0x02962F63,0x04B90DD8,1,0,0x00000018,38,31,-56,-54,-219,277,6.375,no crash
7,0x0ABAD380,0x02962F63,0x04B90DD8,1,0,0x00000018,39,31,-52,-383,-376,266,6.375,no crash
8,0x0ABAD380,0x02962F63,0x04B90DD8,1,0,0x00000018,38,30,-56,878,1053,-137,6.4375,no crash
9,0x0ABAD380,0x02962F63,0x04B90DD8,1,0,0x00000018,39,31,-49,209,-63,395,6.4375,no crash
10,0x0ABAD380,0x02962F63,0x04B90DD8,1,0,0x00000018,39,31,-55,392,-108,4198,6.4375,no crash
11,0x0ABAD380,0x02962F63,0x04B90DD8,1,0,0x00000018,40,33,-52,491,36,1491,6.4375,no crash
12,0x0ABAD768,0x02962F62,0x04B90DD8,1,0,0x0000001A,41,31,-58,157,38,148,6.4375,no crash
13,0x0ABAD768,0x02962F62,0x04B90DD8,1,0,0x0000001A,44,30,-49,80,35,376,6.4375,no crash
14,0x0ABAD768,0x02962F62,0x04B90DD8,1,0,0x0000001A,43,31,-52,336,39,327,6.4375,no crash
15,0x0ABAD768,0x02962F62,0x04B90DD8,1,0,0x0000001A,46,28,-56,255,-52,356,6.5,no crash
16,0x0ABAD768,0x02962F62,0x04B90DD8,1,0,0x0000001A,47,28,-57,285,164,69,6.5,no crash
17,0x0ABAD768,0x02962F62,0x04B90DD8,1,0,0x0000001A,48,31,-53,-239,-365,-27,6.5,no crash
18,0x0ABAD768,0x02962F62,0x04B90DD8,1,0,0x0000001A,48,31,-52,-200,-309,-155,6.4375,no crash
19,0x0ABAD768,0x02962F62,0x04B90DD8,1,0,0x0000001A,44,35,-49,-1030,-1041,-82,6.4375,no crash
20,0x0ABAD768,0x02962F62,0x04B90DD8,1,0,0x0000001A,32,39,-52,573,-186,-88,6.5,no crash
21,0x0ABAD768,0x02962F62,0x04B90DD8,1,0,0x0000001A,46,39,-54,248,-9,159,6.5,no crash
22,0x0ABAD768,0x02962F62,0x04B90DD8,1,0,0x0000001A,43,31,-57,163,-38,-29,6.5,no crash
23,0x0ABADB50,0x02962F62,0x04B90DD7,1,0,0x0000001F,48,28,-52,203,-46,-1000,6.5,no crash
24,0x0ABADB50,0x02962F62,0x04B90DD7,1,0,0x0000001F,43,44,-52,-1014,-1051,-1073,6.5,no crash
25,0x0ABADB50,0x02962F62,0x04B90DD7,1,0,0x0000001F,39,54,-55,-817,-1331,77,6.5625,no crash
26,0x0ABADB50,0x02962F62,0x04B90DD7,1,0,0x0000001F,39,48,-50,-590,-553,95,6.5625,no crash
27,0x0ABADB50,0x02962F62,0x04B90DD7,1,0,0x0000001F,36,48,-52,671,289,-313,6.5625,no crash
28,0x0ABADB50,0x02962F62,0x04B90DD7,1,0,0x0000001F,39,55,-57,-145,-635,22,6.5625,no crash
29,0x0ABADB50,0x02962F62,0x04B90DD7,1,0,0x0000001F,38,60,-61,265,271,-530,6.5625,no crash
30,0x0ABADB50,0x02962F62,0x04B90DD7,1,0,0x0000001F,41,51,-57,-276,461,-136,6.5625,no crash
31,0x0ABADB50,0x02962F62,0x04B90DD7,1,0,0x0000001F,31,47,-48,-1360,-1022,-249,6.5625,no crash
32,0x0ABADB50,0x02962F62,0x04B90DD7,1,0,0x0000001F,24,54,-57,-2738,-2093,-517,6.5625,no crash
33,0x0ABADB50,0x02962F62,0x04B90DD7,1,0,0x0000001F,7,63,-34,-75,-94,-989,6.5625,no crash
34,0x0ABADF38,0x02962F61,0x04B90DD7,1,0,0x00000027,12,57,-36,3292,2530,-627,6.5625,no crash
35,0x0ABADF38,0x02962F61,0x04B90DD7,1,0,0x00000027,38,41,-56,2689,955,-1191,6.5625,no crash
36,0x0ABADF38,0x02962F61,0x04B90DD7,1,0,0x00000027,48,55,-64,611,-1129,-981,6.5625,no crash
37,0x0ABADF38,0x02962F61,0x04B90DD7,1,0,0x00000027,40,60,-66,1070,-267,-938,6.5625,no crash
38,0x0ABADF38,0x02962F61,0x04B90DD7,1,0,0x00000027,55,59,-57,801,428,-850,6.5625,no crash
39,0x0ABADF38,0x02962F61,0x04B90DD7,1,0,0x00000027,56,51,-58,726,1349,-917,6.625,no crash
40,0x0ABADF38,0x02962F61,0x04B90DD7,1,0,0x00000027,62,35,-61,-630,-366,-983,6.625,no crash
41,0x0ABADF38,0x02962F61,0x04B90DD7,1,0,0x00000027,51,49,-58,409,-1367,-403,6.625,no crash
42,0x0ABAE320,0x02962F60,0x04B90DD6,1,0,0x00000028,55,55,-42,113,-171,463,6.625,no crash
43,0x0ABAE320,0x02962F60,0x04B90DD6,1,0,0x00000028,71,57,-55,-1258,996,1067,6.625,no crash
