frame_num,gps_utc_time,gps_latitude,gps_longitude,gps_north,gps_east,gps_ground_speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp,crash
1,0x0001EF4F,0x00000000,0x00000000,0,0,0x00000000,56,31,-57,22,-10,-279,32.5625,no crash
2,0x0001EF4F,0x00000000,0x00000000,0,0,0x00000000,57,39,-58,22,3,374,32.5625,no crash
3,0x0001EF4F,0x00000000,0x00000000,0,0,0x00000000,57,35,-58,-44,-2,452,32.5625,no crash
4,0x0001EF4F,0x00000000,0x00000000,0,0,0x00000000,56,44,-56,45,45,363,32.5625,no crash
5,0x0001EF4F,0x00000000,0x00000000,0,0,0x00000000,60,32,-58,12,14,-1,32.5625,no crash
6,0x0001EF4F,0x00000000,0x00000000,0,0,0x00000000,56,46,-56,91,68,606,32.5625,no crash
7,0x0001EF4F,0x00000000,0x00000000,0,0,0x00000000,56,39,-57,76,37,922,32.5625,no crash
8,0x0001F337,0x00000000,0x00000000,0,0,0x00000000,62,31,-57,22,56,516,32.5625,no crash
9,0x0001F337,0x00000000,0x00000000,0,0,0x00000000,60,39,-57,42,19,-142,32.5625,no crash
10,0x0001F337,0x00000000,0x00000000,0,0,0x00000000,57,39,-58,59,-15,68,32.5625,no crash
11,0x0001F337,0x00000000,0x00000000,0,0,0x00000000,56,40,-57,15,46,72,32.5625,no crash
12,0x0001F337,0x00000000,0x00000000,0,0,0x00000000,57,35,-57,99,7,95,32.625,no crash
13,0x0001F337,0x00000000,0x00000000,0,0,0x00000000,60,39,-57,80,2,107,32.625,no crash
14,0x0001F337,0x00000000,0x00000000,0,0,0x00000000,60,38,-57,53,30,-27,32.625,no crash
15,0x0001F337,0x00000000,0x00000000,0,0,0x00000000,56,39,-57,40,22,-23,32.625,no crash
16,0x0001F337,0x00000000,0x00000000,0,0,0x00000000,60,39,-57,88,29,100,32.625,no crash
17,0x0001F337,0x00000000,0x00000000,0,0,0x00000000,57,36,-60,79,14,152,32.5,no crash
18,0x0001F71F,0x00000000,0x00000000,0,0,0x00000000,57,36,-57,77,11,62,32.5,no crash
19,0x0001F71F,0x00000000,0x00000000,0,0,0x00000000,60,39,-57,-14,36,81,32.625,no crash
20,0x0001F71F,0x00000000,0x00000000,0,0,0x00000000,57,39,-57,41,-11,-6,32.625,no crash
21,0x0001F71F,0x00000000,0x00000000,0,0,0x00000000,56,39,-57,12,12,163,32.625,no crash
22,0x0001F71F,0x00000000,0x00000000,0,0,0x00000000,57,33,-58,81,19,-85,32.625,no crash
23,0x0001F71F,0x00000000,0x00000000,0,0,0x00000000,57,39,-57,105,40,-51,32.625,no crash
24,0x0001F71F,0x00000000,0x00000000,0,0,0x00000000,57,39,-57,166,-14,117,32.5625,no crash
25,0x0001F71F,0x00000000,0x00000000,0,0,0x00000000,60,39,-57,-3,-16,19,32.5625,no crash
26,0x0001F71F,0x00000000,0x00000000,0,0,0x00000000,57,39,-58,37,-48,-59,32.5625,no crash
27,0x0001F71F,0x00000000,0x00000000,0,0,0x00000000,60,39,-57,60,64,61,32.5625,no crash
28,0x0001FEEF,0x00000000,0x00000000,0,0,0x00000000,59,38,-57,59,-17,70,32.5625,no crash
29,0x0001FEEF,0x00000000,0x00000000,0,0,0x00000000,60,39,-57,92,19,41,32.5625,no crash
30,0x0001FEEF,0x00000000,0x00000000,0,0,0x00000000,57,39,-57,90,33,123,32.5625,no crash
31,0x000202D7,0x00000000,0x00000000,0,0,0x00000000,56,39,-57,63,12,98,32.5625,no crash
32,0x000202D7,0x00000000,0x00000000,0,0,0x00000000,57,38,-58,92,-24,84,32.5625,no crash
33,0x000202D7,0x00000000,0x00000000,0,0,0x00000000,57,38,-57,111,-24,-73,32.5625,no crash
34,0x000202D7,0x00000000,0x00000000,0,0,0x00000000,56,36,-57,33,16,133,32.5625,no crash
35,0x000202D7,0x00000000,0x00000000,0,0,0x00000000,59,39,-57,8,24,244,32.5625,no crash
36,0x000202D7,0x00000000,0x00000000,0,0,0x00000000,60,38,-57,14,64,25,32.5625,no crash
37,0x000202D7,0x00000000,0x00000000,0,0,0x00000000,57,38,-57,97,-3,119,32.5625,no crash
38,0x000202D7,0x00000000,0x00000000,0,0,0x00000000,57,38,-57,178,-10,119,32.5625,no crash
39,0x000202D7,0x00000000,0x00000000,0,0,0x00000000,56,39,-57,151,71,130,32.5625,no crash
40,0x000206BF,0x00000000,0x00000000,0,0,0x00000000,57,35,-57,65,15,-1,32.5625,no crash
41,0x000206BF,0x00000000,0x00000000,0,0,0x00000000,57,39,-57,27,23,-25,32.5625,no crash
42,0x000206BF,0x00000000,0x00000000,0,0,0x00000000,57,38,-57,38,37,104,32.5625,no crash
43,0x000206BF,0x00000000,0x00000000,0,0,0x00000000,59,36,-55,35,-20,116,32.5625,no crash
44,0x000206BF,0x00000000,0x00000000,0,0,0x00000000,59,39,-58,97,65,42,32.5625,no crash
